sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description	
F12Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F1Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F1Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F1Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F2Heidi5			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F2Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F2Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F2Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F3Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F3Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F3Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F4Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F4Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F4Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F5Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F5Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F5Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F6Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F6Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F6Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F7Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F7Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F7Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F8Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F8Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F8Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F9Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F9Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
F9Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G10Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G11Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G12Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G1Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G1Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G1Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G2Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G2Jenny03			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G2Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G3Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G4Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G4Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G5Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G5Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G6Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G6Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G7Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G7Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G8Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G8Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
G9Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H10Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H10Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H11Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H11Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H12Jenny1			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
H1Jenny02			metagenome	Homo sapiens	stool		"USA: Ohio, Cincinnati"	39.10 N 84.51 W								
