sample_name	sample_title	bioproject_accession	organism	host	isolation_source	collection_date	geo_loc_name	lat_lon	ref_biomaterial	rel_to_oxygen	samp_collect_device	samp_mat_process	samp_size	source_material_id	description
D6Jenny1			metagenome	Homo sapiens	stool	4/20/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D7Heidi5			metagenome	Homo sapiens	stool	1/17/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D7Jenny02			metagenome	Homo sapiens	stool	6/11/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D7Jenny03			metagenome	Homo sapiens	stool	1/16/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D7Jenny1			metagenome	Homo sapiens	stool	4/24/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D8Heidi5			metagenome	Homo sapiens	stool	1/4/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D8Jenny02			metagenome	Homo sapiens	stool	6/6/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D8Jenny1			metagenome	Homo sapiens	stool	5/7/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D9Heidi5			metagenome	Homo sapiens	stool	12/29/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D9Jenny02			metagenome	Homo sapiens	stool	5/29/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D9Jenny03			metagenome	Homo sapiens	stool	1/17/2018	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
D9Jenny1			metagenome	Homo sapiens	stool	5/8/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E10Heidi3			metagenome	Homo sapiens	stool	11/21/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E10Heidi5			metagenome	Homo sapiens	stool	12/7/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E10Jenny02			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E10Jenny03			metagenome	Homo sapiens	stool	12/18/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E10Jenny1			metagenome	Homo sapiens	stool	8/13/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E11Heidi5			metagenome	Homo sapiens	stool	12/1/2016	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
E11Jenny02			metagenome	Homo sapiens	stool	10/3/2017	"USA: Ohio, Cincinnati"	39.10 N 84.51 W							
